FBgn0031288	1	1	0
FBgn0031289	9	9	0
FBgn0002936	0	0	2
FBgn0002563	1	0	1
FBgn0046113	0	0	0
FBgn0003916	0	0	0
FBgn0031292	16	4	14
FBgn0020305	154	2	152
FBgn0029095	493	1	492
FBgn0031287	69	0	69
FBgn0020304	1988	3	2361
FBgn0031286	152	5	151
FBgn0031284	92	1	91
FBgn0031283	0	8	0
FBgn0031281	110	2	110
FBgn0000442	0	0	0
FBgn0026438	0	0	0
FBgn0040106	0	0	0
FBgn0004611	337	12	354
FBgn0053127	8	0	8
FBgn0000061	0	0	0
FBgn0003278	404	2	402
FBgn0002593	6647	12	6637
FBgn0031254	2	1	2
FBgn0031255	6	2	4
FBgn0004583	1057	54	1077
FBgn0031256	1764	2	1787
FBgn0031257	31	2	29
FBgn0027592	743	35	710
FBgn0003963	666	16	656
FBgn0031263	48	28	1625
FBgn0031265	348	18	352
FBgn0031266	677	3	674
FBgn0031268	93	6	92
FBgn0023489	3	0	3
FBgn0010323	1	2	0
FBgn0013323	37	2	39
FBgn0031267	322	2	321
FBgn0021874	222	9	235
FBgn0031264	3	7	1
FBgn0005660	213	272	292
FBgn0031260	2945	5	2940
FBgn0010602	1081	5	1077
FBgn0043364	651	35	621
FBgn0031258	589	20	570
FBgn0015924	3165	108	3157
FBgn0031253	76	4	74
FBgn0031252	109	3	115
FBgn0031251	1	0	1
FBgn0031250	29	1	319
FBgn0051921	4	4	0
FBgn0031249	5	5	0
FBgn0031248	3	3	0
FBgn0067779	185	5	190
FBgn0031213	866	9	1318
FBgn0031214	75	0	75
FBgn0031216	555	19	536
FBgn0031217	649	12	689
FBgn0001142	66	4	62
FBgn0031224	151	0	156
FBgn0031228	309	71	265
FBgn0031229	329	10	319
FBgn0031231	107	1	108
FBgn0031233	306	13	296
FBgn0031235	24	120	0
FBgn0031240	38	37	4
FBgn0003444	225	22	308
FBgn0031247	29	3	31
FBgn0024352	1700	3	1697
FBgn0020622	1180	34	1146
FBgn0017457	308	5	308
FBgn0025686	0	0	1
FBgn0031245	49	3	113
FBgn0031244	73	15	94
FBgn0031238	110	10	104
FBgn0031239	37	0	44
FBgn0031232	7	5	4
FBgn0031227	70	17	61
FBgn0051974	140	75	65
FBgn0051975	0	0	0
FBgn0051976	0	0	0
FBgn0031219	190	18	172
FBgn0026787	329	70	313
FBgn0002931	62	52	10
FBgn0051973	9	0	9
